Artist name,Description,Wiki URL,Page Views
Maria A'Becket,American Painter,https://en.wikipedia.org/wiki/Maria%20a%27Becket,127
Hans von Aachen,German Painter,https://en.wikipedia.org/wiki/Hans%20von%20Aachen,"1,136"
Alvar Aalto,Finnish Architect,https://en.wikipedia.org/wiki/Alvar%20Aalto,"13,594"
Magdalena Abakanowicz,Polish Sculptor,https://en.wikipedia.org/wiki/Magdalena%20Abakanowicz,"3,328"
Masseot Abaquesne,French Potter,https://en.wikipedia.org/wiki/Masseot%20Abaquesne,74
Riza-i Abbasi,Persian Painter,https://en.wikipedia.org/wiki/Reza%20Abbasi,"1,358"
Louise Abbema,French Painter,https://en.wikipedia.org/wiki/Louise%20Abb%C3%A9ma,"1,314"
Edwin Austin Abbey,American Illustrator/Muralist,https://en.wikipedia.org/wiki/Edwin%20Austin%20Abbey,"2,453"
Berenice Abbott,American Photographer,https://en.wikipedia.org/wiki/Berenice%20Abbott,"5,015"
John White Abbott,English Painter,https://en.wikipedia.org/wiki/John%20White%20Abbott,173
Lemuel Francis Abbott,English Painter,https://en.wikipedia.org/wiki/Lemuel%20Francis%20Abbott,"1,097"
Abel de Pujol,French Painter,https://en.wikipedia.org/wiki/Abel%20de%20Pujol,333
Sigmund Abeles,American,https://en.wikipedia.org/wiki/Sigmund%20Abeles,292
Gertrude Abercrombie,American,https://en.wikipedia.org/wiki/Gertrude%20Abercrombie,"2,221"
Tony Abeyta,Native American Painter,https://en.wikipedia.org/wiki/Tony%20Abeyta,315
Nicolai Abildgaard,Danish Painter,https://en.wikipedia.org/wiki/Nicolai%20Abildgaard,802
Ivor Abrahams,British Sculptor,https://en.wikipedia.org/wiki/Ivor%20Abrahams,818
Mark Abrahamson,American Photographer,https://en.wikipedia.org/wiki/Lenny%20Abrahamson,"8,352"
Marina Abramovic,Yugoslavian Performance Artist,https://en.wikipedia.org/wiki/Marina%20Abramovi%C4%87,"145,460"
Albert Abramowitz,American,https://en.wikipedia.org/wiki/Alan%20Abramowitz,406
John Absolon,English Painter,https://en.wikipedia.org/wiki/John%20Absolon,126
Tomma Abts,German Painter,https://en.wikipedia.org/wiki/Tomma%20Abts,415
Carla Accardi,Italian,https://en.wikipedia.org/wiki/Carla%20Accardi,404
Vito Acconci,American Sculptor/Installation Artist,https://en.wikipedia.org/wiki/Vito%20Acconci,"3,770"
Andreas Achenbach,German Painter,https://en.wikipedia.org/wiki/Andreas%20Achenbach,"1,400"
Oswald Achenbach,German Painter,https://en.wikipedia.org/wiki/Oswald%20Achenbach,737
Chris Achilleos,Greek/British Painter/Illustrator,https://en.wikipedia.org/wiki/Chris%20Achill%C3%A9os,791
The Achilles Painter,Greek Vase Painter,https://en.wikipedia.org/wiki/Achilles%20Painter,389
Franz Ackermann,German Painter/Installation Artist,https://en.wikipedia.org/wiki/Franz%20Ackermann,264
Max Ackermann,German Painter,https://en.wikipedia.org/wiki/Max%20Ackermann,162
Roger Ackling,British Sculptor,https://en.wikipedia.org/wiki/Roger%20Ackling,139
Lambert-Sigisbert Adam,French Sculptor,https://en.wikipedia.org/wiki/Lambert-Sigisbert%20Adam,299
Nicolas-Sebastien Adam,French Sculptor,https://en.wikipedia.org/wiki/Nicolas-S%C3%A9bastien%20Adam,305
Robert Adam,Scottish Architect/Designer,https://en.wikipedia.org/wiki/Robert%20Mosbacher,"3,117"
Valerio Adami,Italian Painter,https://en.wikipedia.org/wiki/Valerio%20Adami,576
Ansel Adams,American Photographer,https://en.wikipedia.org/wiki/Ansel%20Adams,"2,562,812"
Clinton Adams,American Painter,https://en.wikipedia.org/wiki/Clinton%20Adams,117
Herbert Adams,American Sculptor,https://en.wikipedia.org/wiki/Grantley%20Herbert%20Adams,"1,982"
John Ottis Adams,American Painter,https://en.wikipedia.org/wiki/J.%20Ottis%20Adams,433
John Wolcott Adams,American Illustrator,https://en.wikipedia.org/wiki/John%20Wolcott%20Adams,249
Robert Adams,British Sculptor/Painter,https://en.wikipedia.org/wiki/Robert%20Adams%20%28spiritual%20teacher%29,"5,247"
Wayman Adams,American Painter,https://en.wikipedia.org/wiki/Wayman%20Elbridge%20Adams,214
Robert Adams 1937,American Photographer,https://en.wikipedia.org/wiki/Robert%20Merrihew%20Adams,"1,318"
Robert Adamson,Scottish Photographer,https://en.wikipedia.org/wiki/Robert%20Adamson%20%28philosopher%29,178
Louis-Emile Adan,French Painter,https://en.wikipedia.org/wiki/Georges%20Callot,73
Bas Jan Ader,Dutch Performance Artist,https://en.wikipedia.org/wiki/Bas%20Jan%20Ader,"6,300"
Agbonbiofe Adeshina,Nigerian Yoruba Sculptor,https://en.wikipedia.org/wiki/Agbonbiofe_Adeshina,N/A
Jankel Adler,Polish/German Painter,https://en.wikipedia.org/wiki/Jankel%20Adler,611
George Adomeit,American Painter,https://en.wikipedia.org/wiki/George%20Adomeit,145
Alexander Adriaenssen,Flemish Painter,https://en.wikipedia.org/wiki/Alexander%20Adriaenssen,143
Pieter Coecke van Aelst,Flemish Painter,https://en.wikipedia.org/wiki/Pieter%20Coecke%20van%20Aelst,888
Willem van Aelst,Dutch Painter,https://en.wikipedia.org/wiki/Willem%20van%20Aelst,746
Pieter Aertsen,Dutch Painter,https://en.wikipedia.org/wiki/Pieter%20Aertsen,"1,394"
The Affecter,Greek Vase Painter,https://en.wikipedia.org/wiki/The%20Affecter,113
Yaacov Agam,Israeli Painter/Sculptor,https://en.wikipedia.org/wiki/Yaacov%20Agam,"2,693"
Eileen Agar,British Painter,https://en.wikipedia.org/wiki/Eileen%20Agar,"1,388"
Jacques-Laurent Agasse,Swiss Painter,https://en.wikipedia.org/wiki/Jacques-Laurent%20Agasse,401
Knud Agger,Danish Painter,https://en.wikipedia.org/wiki/Knud%20Agger,83
Agostino di Duccio,Italian Sculptor,https://en.wikipedia.org/wiki/Agostino%20di%20Duccio,518
