1,un,uno,eins,uno,yī
2,deux,due,zwei,dos,èr
3,trois,tre,drei,tres,sān
4,quatre,quattro,vier,cuatro,sì
5,cinq,cinque,fünf,cinco,wǔ
6,six,sei,sechs,seis,liù
7,sept,sette,sieben,siete,qī
8,huit,otto,acht,ocho,bā
9,neuf,nove,neun,nueve,jiǔ
10,dix,dieci,zehn,diez,shí
11,onze,undici,elf,once,shíyī
12,douze,dodici,zwölf,doce,shí'èr
13,treize,tredici,dreizehn,trece,shísān
14,quatorze,quattordici,vierzehn,catorce,shísì
15,quinze,quindici,fünfzehn,quince,shíwǔ
16,seize,sedici,sechzehn,dieciséis,shíliù
17,dix-sept,diciassette,siebzehn,diecisiete,shíqī
18,dix-huit,diciotto,achtzehn,dieciocho,shíbā
19,dix-neuf,diciannove,neunzehn,diecinueve,shíjiǔ
20,vingt,venti,zwanzig,veinte,èrshí
30,trente,trenta,dreißig,treinta,sānshí
40,quarante,quaranta,vierzig,cuarenta,sìshí
50,cinquante,cinquanta,fünfzig,cincuenta,wǔshí
60,soixante,sessanta,sechzig,sesenta,liùshí
70,soixante-dix,settanta,siebzig,setenta,qīshí
80,quatre-vingts,ottanta,achtzig,ochenta,bāshí
90,quatre-vingt-dix,novanta,neunzig,noventa,jiǔshí
100,cent,cento,hundert,cien,yībǎi
200,deux cents,duecento,zweihundert,doscientos,èrbǎi
300,trois cents,trecento,dreihundert,trescientos,sānbǎi
400,quatre cents,quattrocento,vierhundert,cuatrocientos,sìbǎi
500,cinq cents,cinquecento,fünfhundert,quinientos,wǔbǎi
600,six cents,seicento,sechshundert,seiscientos,liùbǎi
700,sept cents,settecento,siebenhundert,setecientos,qībǎi
800,huit cents,ottocento,achthundert,ochocientos,bābǎi
900,neuf cents,novecento,neunhundert,novecientos,jiǔbǎi
"1,000",mille,mille,tausend,mil,yīqiān
"10,000",dix mille,diecimila,zehntausend,diez mil,yī wàn
"100,000",cent mille,centomila,hunderttausend,cien mil,shí wàn
"1,000,000",un million,un milione,eine Million,un millón,yī bǎi wàn
