And,Et,E,Und,Y,Hé
Or,Ou,O,Oder,O,Huòzhě
But,Mais,Ma,Aber,Pero,Dànshì
Because,Parce que,Perché,Weil,Porque,Yīnwèi
So,Donc,Quindi,Also,Así que,Suǒyǐ
Although,Bien que,Sebbene,Obwohl,Aunque,Suīrán
However,Cependant,Tuttavia,Jedoch,Sin embargo,Rán'ér
Therefore,Donc,Pertanto,Daher,Por lo tanto,Suǒyǐ
If,Si,Se,Wenn,Si,Rúguǒ
Unless,À moins que,A meno che,Es sei denn,A menos que,Chúfēi
Since,Depuis que,Da quando,Seit,Desde que,Jìrán
While,Pendant que,Mentre,Während,Mientras,Dāng
As soon as,Dès que,Non appena,Sobald,Tan pronto como,Yīdàn...jiù
Until,Jusqu'à ce que,Fino a quando,Bis,Hasta que,Zhídào...shí
Before,Avant que,Prima che,Bevor,Antes de que,Zài...zhīqián
After,Après que,Dopo che,Nachdem,Después de que,Zài...zhīhòu
As long as,Tant que,Finché,Solange,Mientras que,Zhǐyào
Even though,Même si,Anche se,Selbst wenn,Aun cuando,Jǐnguǎn
In case,En cas de,In caso di,Im Falle dass,En caso de que,Yǐfáng
Rather than,Plutôt que,Piuttosto che,Anstatt,En lugar de,Ér bùshì
Whether,Si,Se,Ob,Si,Shìfǒu
Not only,Non seulement,Non solo,Nicht nur,No solo,Bùjǐn
But also,Mais aussi,Ma anche,Sondern auch,Sino también,Érqiě
Neither,Ni,Né,Weder,Ni,Bùshì...yě bùshì
Nor,Ni,Né,Noch,Ni,Bùshì...yě bùshì
Both,Les deux,Entrambi,Beide,Ambos,Liǎng zhě dōu
Either,Soit,O,Entweder,O,Huòzhě
Whether...or,Si...ou,Se...o,Ob...oder,Si...o,Wúlùn...huò
Though,Bien que,Sebbene,Obwohl,Aunque,Suīrán
Once,Une fois que,Una volta che,Sobald,Una vez que,Yīdàn
Lest,De peur que,Per paura che,Damit nicht,No sea que,Miǎnde
Provided that,À condition que,A condizione che,Vorausgesetzt dass,Siempre y cuando,Zhǐyào...jiù
In order to,Afin de,Per,Um...zu,Para,Wèile
In spite of,Malgré,Nonostante,Trotz,A pesar de,Jǐnguǎn
Such that,Tel que,Tale che,So dass,Tal que,Zhèyàng
Now that,Maintenant que,Ora che,Jetzt da,Ahora que,Jìrán
Only if,Seulement si,Solo se,Nur wenn,Sólo si,Zhǐyǒu...cái
Whenever,Chaque fois que,Ogni volta che,Wann immer,Siempre que,Měidāng...shí
Wherever,Partout où,Ovunque,Wo auch immer,Dondequiera,Wúlùn...nǎlǐ
Whereas,Tandis que,Mentre invece,Während,Mientras que,Ér
Whichever,Quel que soit,Qualunque,Welcher auch immer,Cualquiera,Wúlùn...nǎge
Whoever,Quiconque,Chiunque,Wer auch immer,Quienquiera,Wúlùn shéi
Whenever,Chaque fois que,Ogni volta che,Wann immer,Siempre que,Wúlùn shénme shíhòu
As if,Comme si,Come se,Als ob,Como si,Jiù xiàng
As though,Comme si,Come se,Als ob,Como si,Jiù xiàng
Even if,Même si,Anche se,Auch wenn,Incluso si,Jíshǐ
Just as,Tout comme,Proprio come,Genau wie,Tal como,Jiù xiàng
Whether or not,Que ce soit,Che sia o no,Ob...oder nicht,Si...o no,Wúlùn shìfǒu
Neither...nor,Ni...ni,Né...né,Weder...noch,Ni...ni,Bù...yě bù
Barely,À peine,Appena,Kaum,Apenas,Jīhū
So that,Pour que,Così che,Damit,Para que,Yǐbiàn
In case,En cas de,In caso di,Für den Fall dass,En caso de que,Yǐfáng
As well as,Ainsi que,Oltre a,Sowie,Así como,Yě
Insofar as,Dans la mesure où,Nella misura in cui,Soweit,En tanto que,Zhǐyǒu...cái
In as much as,En tant que,In quanto,Insofern,En la medida que,Yīnwèi
Conversely,Inversement,Al contrario,Umgekehrt,A la inversa,Fǎnzhī
Namely,À savoir,Vale a dire,Nämlich,A saber,Jí
Likewise,De même,Allo stesso modo,Ebenso,Del mismo modo,Tóngyàng
Similarly,Similairement,Allo stesso modo,Ähnlich,Similarmente,Tóngyàng
For example,Par exemple,Per esempio,Zum Beispiel,Por ejemplo,Lìrú
For instance,Par exemple,Per esempio,Zum Beispiel,Por ejemplo,Bǐrú
In other words,En d'autres termes,In altre parole,Mit anderen Worten,En otras palabras,Huànjùhuà shuō
That is,C'est-à-dire,Cioè,Das heißt,Es decir,Jí
In particular,En particulier,In particolare,Insbesondere,En particular,Tèbié shì
Specifically,Spécifiquement,Specificamente,Speziell,Específicamente,Tèbié shì
In summary,En résumé,In sintesi,Zusammengefasst,En resumen,Zǒng'ér yánzhī
Above all,Surtout,Soprattutto,Vor allem,Sobre todo,Zhòngyào de shì
All in all,Tout bien considéré,Tutto sommato,Alles in allem,En resumen,Zǒngde lái shuō
In conclusion,En conclusion,In conclusione,Abschließend,En conclusión,Zǒngjié lái shuō
