the,le,IL,Die,el,zhè
of,de,Di,von,de,zhī
to,à,A,Zu,a,zì
and,et,E,Und,y,hé
a,un,UN,A,a,yígè
in,dans,In,In,en,zài
is,est,È,Ist,es,shì
it,il,Esso,Es,él,tā
you,toi,Voi,Du,tú,nǐ
that,que,Quello,Das,eso,nà
he,il,Lui,Er,él,tā
was,était,era,War,era,shì
for,pour,per,für,para,wéi
on,sur,SU,An,en,shàng
are,sont,Sono,Sind,son,shì
with,avec,con,mit,con,gēn
as,comme,COME,als,como,rú
I,je,IO,ICH,I,wǒ
his,son,il suo,sein,su,tā
they,ils,Essi,Sie,ellos,tāmen
be,être,Essere,Sei,ser,shì
at,à,A,bei,en,zài
one,un,uno,eins,uno,yì
have,avoir,Avere,haben,tener,yǒu
this,ce,Questo,Das,este,zhè
from,depuis,da,aus,de,cóng
or,ou,O,oder,o,huò
had,avait,avevo,hatte,tenía,yǒu
by,par,di,von,por,yóu
not,pas,non,nicht,no,bù
word,mot,parola,Wort,palabra,cí
but,mais,Ma,Aber,pero,dàn
what,quoi,Che cosa,Was,qué,shénme
some,quelques,Alcuni,manche,alguno,yìxiē
we,nous,Noi,Wir,nosotros,wǒmen
can,peut,Potere,dürfen,poder,néng
out,dehors,fuori,aus,afuera,wài
other,autre,altro,andere,otro,qítā
were,étaient,erano,war,eran,shì
all,tous,Tutto,alle,todo,dōu
there,là,Là,Dort,allá,nàlǐ
when,quand,Quando,Wann,cuando,shénmeshíhòu
up,en haut,su,hoch,arriba,xiàngshàng
use,utiliser,utilizzo,verwenden,usar,yòng
your,ton,tuo,dein,su,nǐ
how,comment,Come,Wie,cómo,rúhé
said,dit,disse,sagte,dicho,shuō
an,un,UN,ein,un,yì
each,chaque,ogni,jede,cada,měi
she,elle,Lei,sie,ella,tā
which,lequel,Quale,welche,cual,nǎ
do,faire,Fare,Tun,hacer,zuò
their,leur,loro,ihre,su,tāmen
time,temps,tempo,Zeit,tiempo,shíjiān
if,si,Se,Wenn,si,rúguǒ
will,volonté,Volere,Wille,voluntad,jiāng
way,chemin,modo,Weg,forma,dàolù
about,à propos,Di,um,acerca de,dàyuē
many,beaucoup,molti,viele,muchos,duō
then,alors,Poi,Dann,entonces,ránhòu
them,eux,loro,ihnen,a ellos,tāmen
write,écrire,scrivere,schreiben,escribir,xiě
would,serait,volevo,würde,haría,yuànyì
like,comme,Piace,wie,como,xǐhuan
so,donc,COSÌ,Also,entonces,suǒyǐ
these,ces,questi,diese,estos,zhèxiē
her,son,suo,ihr,su,tā
long,long,lungo,lang,largo,cháng
make,faire,Fare,machen,hacer,zuò
thing,chose,cosa,Ding,cosa,dōngxī
see,voir,Vedere,sehen,ver,kàn
him,lui,lui,ihn,a él,tā
two,deux,due,zwei,dos,èr
has,a,ha,hat,tiene,yǒu
look,regarder,Aspetto,sehen,mirar,kàn
more,plus,Di più,mehr,más,gèngduō
day,jour,giorno,Tag,día,rì
could,pourrait,Potevo,könnte,podría,néng
go,aller,andare,gehen,ir,qù
come,viens,Venire,kommen,venir,lái
did,a fait,fatto,tat,hizo,zuòdào le
number,nombre,numero,Nummer,número,shù
sound,son,suono,Klang,sonido,shēngyīn
no,Non,NO,NEIN,No,bù
most,la plupart,maggior parte,am meisten,mayoría,zuì
people,personnes,persone,Menschen,gente,rén
