Monday,lundi,lunedì,Montag,lunes,xīngqī yī
Tuesday,mardi,martedì,Dienstag,martes,xīngqī èr
Wednesday,mercredi,mercoledì,Mittwoch,miércoles,xīngqī sān
Thursday,jeudi,giovedì,Donnerstag,jueves,xīngqī sì
Friday,vendredi,venerdì,Freitag,viernes,xīngqī wǔ
Saturday,samedi,sabato,Samstag,sábado,xīngqī liù
Sunday,dimanche,domenica,Sonntag,domingo,xīngqī tiān
January,janvier,gennaio,Januar,enero,yīyuè
February,février,febbraio,Februar,febrero,èryuè
March,mars,marzo,März,marzo,sānyuè
April,avril,aprile,April,abril,sìyuè
May,mai,maggio,Mai,mayo,wǔyuè
June,juin,giugno,Juni,junio,liùyuè
July,juillet,luglio,Juli,julio,qīyuè
August,août,agosto,August,agosto,bāyuè
September,septembre,settembre,September,septiembre,jiǔyuè
October,octobre,ottobre,Oktober,octubre,shíyuè
November,novembre,novembre,November,noviembre,shíyīyuè
December,décembre,dicembre,Dezember,diciembre,shí'èryuè
Spring,printemps,primavera,Frühling,primavera,chūntiān
Summer,été,estate,Sommer,verano,xiàtiān
Autumn,automne,autunno,Herbst,otoño,qiūtiān
Winter,hiver,inverno,Winter,invierno,dōngtiān
Hour,heure,ora,Stunde,hora,xiǎoshí
Minute,minute,minuto,Minute,minuto,fēnzhōng
Second,seconde,secondo,Sekunde,segundo,miǎo
Morning,matin,mattina,Morgen,mañana,zǎoshang
Afternoon,après-midi,pomeriggio,Nachmittag,tarde,xiàwǔ
Evening,soir,sera,Abend,noche,wǎnshàng
Night,nuit,notte,Nacht,noche,yèli
Day,jour,giorno,Tag,día,rì
Week,semaine,settimana,Woche,semana,xīngqī
Month,mois,mese,Monat,mes,yuè
Year,an,anno,Jahr,año,nián
Half past,et demie,e mezza,halb,y media,bàn
Quarter past,et quart,e un quarto,Viertel nach,y cuarto,yíkè
Quarter to,moins le quart,meno un quarto,Viertel vor,menos cuarto,sān kè
O'clock,heure,in punto,Uhr,en punto,diǎn zhōng
Early,tôt,presto,früh,temprano,zǎo
Late,tard,tardi,spät,tarde,wǎn
Yesterday,hier,ieri,gestern,ayer,zuótiān
Today,aujourd'hui,oggi,heute,hoy,jīntiān
Tomorrow,demain,domani,morgen,mañana,míngtiān
Twelve o'clock,Douze heures,Dodici,Zwölf Uhr,Doce en punto,Shí'èr diǎn zhōng
Three thirty pm,Quinze heures trente,Quindici e trenta,Drei Uhr dreißig,Tres y media,Xiàwǔ sān diǎn bàn
Two fifty-one am,Deux heures cinquante et un,Due e cinquantuno,Zwei Uhr einundfünfzig,Dos cincuenta y uno,Zǎoshang liǎng diǎn wǔshíyī fēn
Eight fifteen am,Huit heures quinze,Otto e quindici,Acht Uhr fünfzehn,Ocho y cuarto,Zǎoshang bā diǎn shíwǔ fēn
Ten twenty-two pm,Vingt-deux heures vingt-deux,Venti e ventidue,Zweiundzwanzig Uhr zweiundzwanzig,Diez veintidós de la noche,Wǎnshàng shí diǎn èrshí'èr fēn
Six o'clock am,Six heures,Sei,Sechs Uhr,Seis en punto,Zǎoshang liù diǎn
