good,bon,buono,gut,bueno,hǎo
new,nouveau,nuovo,neu,nuevo,xīn
first,premier,primo,erste,primero,dì yī
last,dernier,ultimo,letzte,último,zuìhòu
long,long,lungo,lang,largo,cháng
great,grand,grande,groß,grande,wěidà
little,petit,piccolo,klein,pequeño,xiǎo
own,propre,proprio,eigen,propio,zìjǐ
other,autre,altro,andere,otro,qítā
old,vieux,vecchio,alt,viejo,lǎo
right,droit,giusto,richtig,correcto,duì
big,grand,grande,groß,grande,dà
high,haut,alto,hoch,alto,gāo
different,différent,diverso,anders,diferente,bùtóng
small,petit,piccolo,klein,pequeño,xiǎo
large,grand,grande,groß,grande,dà
next,prochain,prossimo,nächste,siguiente,xià yī
early,tôt,presto,früh,temprano,zǎo
young,jeune,giovane,jung,joven,niánqīng
important,important,importante,wichtig,importante,zhòngyào
few,peu,pochi,wenig,pocos,shǎo
public,public,pubblico,öffentlich,público,gōnggòng
bad,mauvais,cattivo,schlecht,malo,huài
same,même,stesso,gleich,mismo,xiāngtóng
able,capable,capace,fähig,capaz,néng
happy,heureux,felice,glücklich,feliz,kuàilè
best,meilleur,migliore,beste,mejor,zuì hǎo
sure,sûr,sicuro,sicher,seguro,quèdìng
clear,clair,chiaro,klar,claro,qīngchǔ
whole,entier,intero,ganz,entero,zhěnggè
black,noir,nero,schwarz,negro,hēi
white,blanc,bianco,weiß,blanco,bái
strong,fort,forte,stark,fuerte,qiáng
free,libre,libero,frei,libre,zìyóu
hard,dur,duro,hart,duro,yìng
easy,facile,facile,einfach,fácil,róngyì
full,plein,pieno,voll,lleno,mǎn
certain,certain,certo,sicher,cierto,kěndìng
low,bas,basso,niedrig,bajo,dī
early,tôt,presto,früh,temprano,zǎo
simple,simple,semplice,einfach,simple,jiǎndān
quick,rapide,rapido,schnell,rápido,kuài
late,tard,tardi,spät,tarde,wǎn
wide,large,ampio,breit,ancho,kuān
full,plein,pieno,voll,lleno,mǎn
short,court,corto,kurz,corto,duǎn
good,bon,buono,gut,bueno,hǎo
tall,grand,alto,groß,alto,gāo
strong,fort,forte,stark,fuerte,qiáng
correct,correct,corretto,richtig,correcto,zhèngquè
beautiful,beau,bello,schön,hermoso,měilì
soft,doux,morbido,weich,suave,ruǎn
slow,lent,lento,langsam,lento,màn
quick,rapide,rapido,schnell,rápido,kuài
fast,rapide,veloce,schnell,rápido,kuài
clear,clair,chiaro,klar,claro,qīngchǔ
weak,faible,debole,schwach,débil,ruò
close,proche,vicino,nah,cerca,jìn
safe,sûr,sicuro,sicher,seguro,ānquán
fine,fin,fine,fein,fino,hǎo
similar,similaire,simile,ähnlich,similar,lèisì
hot,chaud,caldo,heiß,caliente,rè
cold,froid,freddo,kalt,frío,lěng
rich,riche,ricco,reich,rico,fùyǒu
normal,normal,normale,normal,normal,zhèngcháng
careful,prudent,attento,vorsichtig,cuidadoso,xiǎoxīn
happy,heureux,felice,glücklich,feliz,kuàilè
basic,de base,di base,grundlegend,básico,jīběn
complex,complexe,complesso,komplex,complejo,fùzá
bright,lumineux,luminoso,hell,brillante,liàng
clean,propre,pulito,sauber,limpio,gānjìng
dark,sombre,scuro,dunkel,oscuro,hēi'àn
cool,frais,fresco,kühl,fresco,liángkuai
clever,intelligent,intelligente,klug,inteligente,cōngmíng
famous,célèbre,famoso,berühmt,famoso,yǒumíng
huge,énorme,enorme,riesig,enorme,jùdà
entire,entier,intero,ganz,entero,zhěnggè
solid,solide,solido,fest,sólido,gùdìng
serious,sérieux,serio,ernst,serio,yánsù
difficult,difficile,difficile,schwierig,difícil,kùnnán
specific,spécifique,specifico,spezifisch,específico,tèdìng
basic,de base,di base,grundlegend,básico,jīběn
narrow,étroit,stretto,schmal,estrecho,zhǎi
unique,unique,unico,einzigartig,único,dútè
general,général,generale,allgemein,general,yībān
valuable,précieux,prezioso,wertvoll,valioso,yǒujiàzhí
common,commun,comune,gemeinsam,común,pǔtōng
central,central,centrale,zentral,central,zhōngyāng
flat,plat,piatto,flach,plano,píng
fresh,frais,fresco,frisch,fresco,xīnxiān
mental,mental,mentale,geistig,mental,jīngshén
empty,vide,vuoto,leer,vacío,kōng
quick,rapide,rapido,schnell,rápido,kuài
daily,quotidien,quotidiano,täglich,diario,rìcháng
effective,efficace,efficace,wirksam,eficaz,yǒuxiào
typical,typique,tipico,typisch,típico,diǎnxíng
essential,essentiel,essenziale,wesentlich,esencial,bìyào
private,privé,privato,privat,privado,sīrén
rapid,rapide,rapido,schnell,rápido,kuài
large,grand,grande,groß,grande,dà
complex,complexe,complesso,komplex,complejo,fùzá
tough,dur,duro,hart,duro,jiānrěn
pretty,joli,carino,hübsch,bonito,piàoliang
alive,vivant,vivo,lebendig,vivo,huózhe
common,commun,comune,gemeinsam,común,pǔtōng
warm,chaud,caldo,warm,cálido,nuǎnhuo
narrow,étroit,stretto,schmal,estrecho,zhǎi
quick,rapide,rapido,schnell,rápido,kuài
serious,sérieux,serio,ernst,serio,yánsù
thin,mince,magro,dünn,delgado,shòu
critical,critique,critico,kritisch,crítico,pīpíng
