Artist name,Description,Wiki URL,Page Views
Maria A'Becket,American Painter,https://en.wikipedia.org/wiki/Maria_a%27Becket,63
Hans von Aachen,German Painter,https://en.wikipedia.org/wiki/Hans_von_Aachen,536
Alvar Aalto,Finnish Architect,https://en.wikipedia.org/wiki/Alvar_Aalto,"7,391"
Magdalena Abakanowicz,Polish Sculptor,https://en.wikipedia.org/wiki/Magdalena_Abakanowicz,"1,663"
Masseot Abaquesne,French Potter,https://en.wikipedia.org/wiki/Masseot_Abaquesne,36
Riza-i Abbasi,Persian Painter,https://en.wikipedia.org/wiki/Reza_Abbasi,618
Louise Abbema,French Painter,https://en.wikipedia.org/wiki/Louise_Abbema,4
Edwin Austin Abbey,American Illustrator/Muralist,https://en.wikipedia.org/wiki/Edwin_Austin_Abbey,"1,246"
Berenice Abbott,American Photographer,https://en.wikipedia.org/wiki/Berenice_Abbott,"2,683"
John White Abbott,English Painter,https://en.wikipedia.org/wiki/John_White_Abbott,80
Lemuel Francis Abbott,English Painter,https://en.wikipedia.org/wiki/Lemuel_Francis_Abbott,583
Abel de Pujol,French Painter,https://en.wikipedia.org/wiki/Abel_de_Pujol,188
Sigmund Abeles,American,https://en.wikipedia.org/wiki/Sigmund_Abeles,113
Gertrude Abercrombie,American,https://en.wikipedia.org/wiki/Gertrude_Abercrombie,"1,163"
Tony Abeyta,Native American Painter,https://en.wikipedia.org/wiki/Tony_Abeyta,161
Nicolai Abildgaard,Danish Painter,https://en.wikipedia.org/wiki/Nicolai_Abildgaard,401
Ivor Abrahams,British Sculptor,https://en.wikipedia.org/wiki/Ivor_Abrahams,643
Mark Abrahamson,American Photographer,https://en.wikipedia.org/wiki/Lenny_Abrahamson,"5,124"
Marina Abramovic,Yugoslavian Performance Artist,https://en.wikipedia.org/wiki/Marina_Abramovic,165
Albert Abramowitz,American,https://en.wikipedia.org/wiki/Albert_Fish,"92,585"
John Absolon,English Painter,https://en.wikipedia.org/wiki/John_Absolon,65
Tomma Abts,German Painter,https://en.wikipedia.org/wiki/Tomma_Abts,173
Carla Accardi,Italian,https://en.wikipedia.org/wiki/Carla_Accardi,203
Vito Acconci,American Sculptor/Installation Artist,https://en.wikipedia.org/wiki/Vito_Acconci,"2,020"
Andreas Achenbach,German Painter,https://en.wikipedia.org/wiki/Andreas_Achenbach,789
Oswald Achenbach,German Painter,https://en.wikipedia.org/wiki/Oswald_Achenbach,389
Chris Achilleos,Greek/British Painter/Illustrator,https://en.wikipedia.org/wiki/Chris_Achilleos,327
The Achilles Painter,Greek Vase Painter,https://en.wikipedia.org/wiki/Achilles_Painter,218
Franz Ackermann,German Painter/Installation Artist,https://en.wikipedia.org/wiki/Franz_Ackermann,103
Max Ackermann,German Painter,https://en.wikipedia.org/wiki/Max_Ackermann,93
Roger Ackling,British Sculptor,https://en.wikipedia.org/wiki/Roger_Ackling,66
Lambert-Sigisbert Adam,French Sculptor,https://en.wikipedia.org/wiki/Lambert-Sigisbert_Adam,137
Nicolas-Sebastien Adam,French Sculptor,https://en.wikipedia.org/wiki/Nicolas-Sebastien_Adam,20
Robert Adam,Scottish Architect/Designer,https://en.wikipedia.org/wiki/Robert_Adam,"3,591"
Valerio Adami,Italian Painter,https://en.wikipedia.org/wiki/Valerio_Adami,249
Ansel Adams,American Photographer,https://en.wikipedia.org/wiki/Ansel_Adams,"1,304,597"
Clinton Adams,American Painter,https://en.wikipedia.org/wiki/Clinton_Adams,60
Herbert Adams,American Sculptor,https://en.wikipedia.org/wiki/Herbert_Adams,21
John Ottis Adams,American Painter,https://en.wikipedia.org/wiki/John_Ottis_Adams,9
John Wolcott Adams,American Illustrator,https://en.wikipedia.org/wiki/John_Wolcott_Adams,129
Robert Adams,British Sculptor/Painter,https://en.wikipedia.org/wiki/Robert_Adams,62
Wayman Adams,American Painter,https://en.wikipedia.org/wiki/Wayman_Adams,26
Robert Adams 1937,American Photographer,https://en.wikipedia.org/wiki/Robert_Adams_(photographer),790
Robert Adamson,Scottish Photographer,https://en.wikipedia.org/wiki/Robert_Adamson,37
Louis-Emile Adan,French Painter,https://en.wikipedia.org/wiki/Georges_Callot,39
Bas Jan Ader,Dutch Performance Artist,https://en.wikipedia.org/wiki/Bas_Jan_Ader,"2,927"
Agbonbiofe Adeshina,Nigerian Yoruba Sculptor,https://en.wikipedia.org/wiki/Agbonbiofe_Adeshina,N/A
Jankel Adler,Polish/German Painter,https://en.wikipedia.org/wiki/Jankel_Adler,336
George Adomeit,American Painter,https://en.wikipedia.org/wiki/George_Adomeit,64
Alexander Adriaenssen,Flemish Painter,https://en.wikipedia.org/wiki/Alexander_Adriaenssen,59
Pieter Coecke van Aelst,Flemish Painter,https://en.wikipedia.org/wiki/Pieter_Coecke_van_Aelst,441
Willem van Aelst,Dutch Painter,https://en.wikipedia.org/wiki/Willem_van_Aelst,416
Pieter Aertsen,Dutch Painter,https://en.wikipedia.org/wiki/Pieter_Aertsen,757
The Affecter,Greek Vase Painter,https://en.wikipedia.org/wiki/The_Affecter,51
Yaacov Agam,Israeli Painter/Sculptor,https://en.wikipedia.org/wiki/Yaacov_Agam,"1,440"
Eileen Agar,British Painter,https://en.wikipedia.org/wiki/Eileen_Agar,802
Jacques-Laurent Agasse,Swiss Painter,https://en.wikipedia.org/wiki/Jacques-Laurent_Agasse,194
Knud Agger,Danish Painter,https://en.wikipedia.org/wiki/Knud_Agger,45
Agostino di Duccio,Italian Sculptor,https://en.wikipedia.org/wiki/Agostino_di_Duccio,245
Agostino di Giovanni,Italian Sculptor,https://en.wikipedia.org/wiki/Agostino_di_Giovanni,12
Agostino Veneziano,Italian Engraver,https://en.wikipedia.org/wiki/Agostino_Veneziano,182
Joaquin Agrasot y Juan,Spanish Painter,https://en.wikipedia.org/wiki/Joaqu%C3%ADn_Agrasot,104
John Ahearn,American Sculptor,https://en.wikipedia.org/wiki/John_Ahearn,263
Eija-Liisa Ahtila,Finnish Video Artist,https://en.wikipedia.org/wiki/Eija-Liisa_Ahtila,154
Ai Weiwei,Chinese Conceptual Artist,https://en.wikipedia.org/wiki/Ai_Weiwei,"17,469"
William Aikman,Scottish Painter,https://en.wikipedia.org/wiki/William_Aikman,9
Mario Airo,Italian,https://en.wikipedia.org/wiki/Base_%2F_Progetti_per_l%27arte,12
Craigie Aitchison,British Painter/Printmaker,https://en.wikipedia.org/wiki/Craigie_Aitchison,3
Doug Aitken,American Video Artist,https://en.wikipedia.org/wiki/Doug_Aitken,888
Ivan Aivazovsky,Russian/Armenian Painter,https://en.wikipedia.org/wiki/Ivan_Aivazovsky,"11,916"
Giuseppe Ajmone,Italian Painter,https://en.wikipedia.org/wiki/Giuseppe_Ajmone,34
Kinji Akagawa,American Sculptor,https://en.wikipedia.org/wiki/Kinji_Akagawa,88
Carl Ethan Akeley,American Sculptor,https://en.wikipedia.org/wiki/Carl_Ethan_Akeley,11
Benjamin Paul Akers,American Sculptor,https://en.wikipedia.org/wiki/Benjamin_Paul_Akers,96
Manasie Akpaliapik,Canadian Inuit Sculptor,https://en.wikipedia.org/wiki/Manasie_Akpaliapik,59
Francesco Albani,Italian Painter,https://en.wikipedia.org/wiki/Francesco_Albani,384
Grace Albee,American Printmaker,https://en.wikipedia.org/wiki/Grace_Albee,91
Giovanni Alberghetti I,Italian,https://en.wikipedia.org/wiki/Giovanni_Battista_Ferrari_(cardinal),33
Anni Albers,German/American Textile Artist,https://en.wikipedia.org/wiki/Anni_Albers,"1,986"
Josef Albers,German/American Painter/Designer,https://en.wikipedia.org/wiki/Josef_Albers,"4,218"
Cherubino Alberti,Italian Painter,https://en.wikipedia.org/wiki/Cherubino_Alberti,113
Giovanni Alberti,Italian Painter,https://en.wikipedia.org/wiki/Giovanni_Alberti,11
Leon Baptista Alberti,Italian Architect,https://en.wikipedia.org/wiki/List_of_Renaissance_figures,"1,221"
Mariotto Albertinelli,Italian Painter,https://en.wikipedia.org/wiki/Mariotto_Albertinelli,226
Ivan Albright,American Painter,https://en.wikipedia.org/wiki/Ivan_Albright,"1,482"
Conrad Albrizio,American,https://en.wikipedia.org/wiki/Conrad_Albrizio,42
Heinrich Aldegrever,German Engraver,https://en.wikipedia.org/wiki/Heinrich_Aldegrever,234
Pierre Alechinsky,Belgian Painter,https://en.wikipedia.org/wiki/Pierre_Alechinsky,857
William Van Alen,American Architect,https://en.wikipedia.org/wiki/William_Van_Alen,"1,279"
Francis Alexander,American Painter,https://en.wikipedia.org/wiki/Francis_Alexander,50
John White Alexander,American Painter,https://en.wikipedia.org/wiki/John_White_Alexander,498
Peter Alexander,American,https://en.wikipedia.org/wiki/Peter_Alexander,164
William Alexander,English Painter,https://en.wikipedia.org/wiki/William_Alexander,70
Carlos Alfonzo,Cuban Painter,https://en.wikipedia.org/wiki/Carlos_Alfonzo,177
Alessandro Algardi,Italian Sculptor,https://en.wikipedia.org/wiki/Alessandro_Algardi,451
Mihr Ali,Persian Painter,https://en.wikipedia.org/wiki/Mihr_Ali,15
Ali ibn Muhhamad,Persian Sculptor,https://en.wikipedia.org/wiki/Hisham_ibn_al-Hakam,331
Giuseppe Alinari,Italian Photographer,https://en.wikipedia.org/wiki/Fratelli_Alinari,249
Henry Thomas Alken,English Painter,https://en.wikipedia.org/wiki/Henry_Thomas_Alken,248
Samuel Alken Sr.,English Painter,https://en.wikipedia.org/wiki/Samuel_Alken,41
David Allan,Scottish Painter,https://en.wikipedia.org/wiki/David_Allan,64
William Allan,Scottish Painter,https://en.wikipedia.org/wiki/William_Allan,62
Christophe-Gabriel Allegrain,French Sculptor,https://en.wikipedia.org/wiki/Christophe-Gabriel_Allegrain,88
Etienne Allegrain,French Painter,https://en.wikipedia.org/wiki/Etienne_Allegrain,4
Gabriel Allegrain,French,https://en.wikipedia.org/wiki/Gabriel_Allegrain,2
